pathway,gene
N00005,ENSG00000157764
N00005,ENSG00000132155
N00005,ENSG00000169032
N00005,ENSG00000126934
N00005,ENSG00000100030
N00005,ENSG00000102882
N00005,ENSG00000110092
N00044,ENSG00000105976
N00044,ENSG00000109458
N00044,ENSG00000121879
N00044,ENSG00000051382
N00044,ENSG00000171608
N00044,ENSG00000142208
N00044,ENSG00000105221
N00044,ENSG00000117020
N00044,ENSG00000002330
N00228,ENSG00000163235
N00228,ENSG00000146648
N00228,ENSG00000124181
N00228,ENSG00000197943
N00228,ENSG00000154229
N00228,ENSG00000166501
N00228,ENSG00000126583
N00228,ENSG00000126767
N00235,ENSG00000167244
N00235,ENSG00000140443
N00235,ENSG00000177885
N00235,ENSG00000115904
N00235,ENSG00000100485
N00235,ENSG00000174775
N00235,ENSG00000133703
N00235,ENSG00000213281
N00235,ENSG00000078061
N00235,ENSG00000157764
N00235,ENSG00000132155
N00235,ENSG00000169032
N00235,ENSG00000126934
N00235,ENSG00000100030
N00235,ENSG00000102882
N00236,ENSG00000167244
N00236,ENSG00000140443
N00236,ENSG00000121879
N00236,ENSG00000051382
N00236,ENSG00000171608
N00236,ENSG00000142208
N00236,ENSG00000105221
N00236,ENSG00000117020
N00236,ENSG00000198793
N00236,ENSG00000108443
N00236,ENSG00000175634
N00237,ENSG00000167244
N00237,ENSG00000140443
N00237,ENSG00000177885
N00237,ENSG00000115904
N00237,ENSG00000100485
N00237,ENSG00000174775
N00237,ENSG00000133703
N00237,ENSG00000213281
N00237,ENSG00000078061
N00237,ENSG00000157764
N00237,ENSG00000132155
N00237,ENSG00000169032
N00237,ENSG00000126934
N00237,ENSG00000100030
N00237,ENSG00000102882
N00238,ENSG00000167244
N00238,ENSG00000140443
N00238,ENSG00000121879
N00238,ENSG00000051382
N00238,ENSG00000171608
N00238,ENSG00000142208
N00238,ENSG00000105221
N00238,ENSG00000117020
N00238,ENSG00000198793
N00238,ENSG00000108443
N00238,ENSG00000175634
N00240,ENSG00000164362
N00241,ENSG00000163513
N00241,ENSG00000106799
N00241,ENSG00000175387
N00241,ENSG00000166949
N00242,ENSG00000082701
N00242,ENSG00000134982
N00242,ENSG00000103126
N00242,ENSG00000168036
N00242,ENSG00000081059
N00242,ENSG00000152284
N00242,ENSG00000148737
N00242,ENSG00000138795
N00242,ENSG00000136997
N00242,ENSG00000110092
N00244,ENSG00000079999
N00244,ENSG00000116044
N00244,ENSG00000100292
N00244,ENSG00000181019
N00244,ENSG00000065621
N00244,ENSG00000182793
N00244,ENSG00000243955
N00244,ENSG00000244067
N00244,ENSG00000174156
N00244,ENSG00000170899
N00244,ENSG00000134184
N00244,ENSG00000213366
N00244,ENSG00000134202
N00244,ENSG00000168765
N00244,ENSG00000134201
N00244,ENSG00000084207
N00244,ENSG00000099984
N00244,ENSG00000008394
N00244,ENSG00000085871
N00244,ENSG00000143198
N00244,ENSG00000133433
N00244,ENSG00000148834
N00244,ENSG00000198431
N00245,ENSG00000079999
N00245,ENSG00000116044
N00245,ENSG00000100292
N00245,ENSG00000181019
N00245,ENSG00000065621
N00245,ENSG00000182793
N00245,ENSG00000243955
N00245,ENSG00000244067
N00245,ENSG00000174156
N00245,ENSG00000170899
N00245,ENSG00000134184
N00245,ENSG00000213366
N00245,ENSG00000134202
N00245,ENSG00000168765
N00245,ENSG00000134201
N00245,ENSG00000084207
N00245,ENSG00000099984
N00245,ENSG00000008394
N00245,ENSG00000085871
N00245,ENSG00000143198
N00245,ENSG00000133433
N00245,ENSG00000148834
N00245,ENSG00000198431
N00246,ENSG00000019991
N00246,ENSG00000105976
N00246,ENSG00000177885
N00246,ENSG00000115904
N00246,ENSG00000100485
